date,GC=F,CL=F,HG=F,NG=F
2019-11-01,1580.2077,21.5301,2.5074,1.3304
2019-12-01,1602.0666,20.9896,2.4829,1.3201
2020-01-01,1632.9245,19.8298,2.4508,1.3002
2020-02-01,1689.9423,11.2541,2.6241,1.4634
2020-03-01,1728.6621,3.6864,2.7975,1.6443
2020-04-01,1750.9904,-4.6922,2.9718,1.8167
2020-05-01,1799.3568,-12.7560,3.1439,1.9732
2020-06-01,1849.1741,-20.6381,3.3167,2.1445
2020-07-01,1865.6606,-18.6552,3.4915,2.3304
2020-08-01,1883.5098,-14.8570,3.6687,2.4874
2020-09-01,1886.1125,-7.4857,3.8422,2.6432
2020-10-01,1878.8444,-7.1511,4.0152,2.7824
2020-11-01,1872.4881,-3.6651,4.1906,2.9741
2020-12-01,1854.6228,-1.3054,4.1910,3.1655
2021-01-01,1864.8437,3.0607,4.2034,3.3474
2021-02-01,1870.2587,6.6305,4.2134,3.5514
2021-03-01,1870.3255,11.2733,4.2236,3.7290
2021-04-01,1832.6579,16.5366,4.2384,3.9158
2021-05-01,1820.6148,20.3252,4.2386,4.0999
2021-06-01,1844.0941,25.5233,4.2388,4.2722
2021-07-01,1840.7914,25.5068,4.2501,4.4312
2021-08-01,1852.8669,31.3925,4.2601,4.6727
2021-09-01,1838.6733,35.4551,4.2710,4.8341
2021-10-01,1870.2539,38.4052,4.2786,4.9891
2021-11-01,1878.0935,37.9087,4.2920,5.1772
2021-12-01,1892.4441,37.9959,4.3066,5.3597
2022-01-01,1937.3308,39.5481,4.3191,5.4926
2022-02-01,1970.0774,40.8559,4.3277,5.7012
2022-03-01,1975.4789,42.6139,4.3272,5.8734
2022-04-01,1976.5806,45.5740,4.3411,6.0151
2022-05-01,1981.6974,44.2595,4.3572,6.2258
2022-06-01,1999.3459,47.0535,4.3704,6.4195
2022-07-01,2007.7675,48.3993,4.3760,6.5566
2022-08-01,2011.8388,49.4269,4.4127,6.6766
2022-09-01,2043.8466,48.5536,4.4503,6.7630
2022-10-01,2052.1334,50.6415,4.4915,6.8294
2022-11-01,2096.6273,48.3537,4.5204,6.9437
2022-12-01,2107.9884,50.6596,4.5526,7.0152
2023-01-01,2164.7682,51.4214,4.5897,7.0810
2023-02-01,2200.1280,54.5016,4.6233,7.1279
2023-03-01,2244.5724,57.3229,4.6510,7.2120
2023-04-01,2263.7032,62.0772,4.6865,7.2929
2023-05-01,2280.8968,64.8092,4.7227,7.3601
2023-06-01,2317.7924,66.7680,4.7565,7.4030
2023-07-01,2362.6207,69.0081,4.7909,7.4736
2023-08-01,2393.2245,73.9174,4.8229,7.5382
2023-09-01,2403.9286,77.7219,4.8636,7.5648
2023-10-01,2413.5248,80.1434,4.8925,7.5873
2023-11-01,2422.1177,76.2887,4.8195,7.1043
2023-12-01,2425.6034,70.4380,4.7496,6.5262
2024-01-01,2457.2457,67.5207,4.6840,6.0324
2024-02-01,2504.1213,61.3810,4.6065,5.5181
2024-03-01,2533.9201,59.0087,4.5300,5.0573
2024-04-01,2530.0139,55.7016,4.4498,4.5425
2024-05-01,2557.1525,55.7820,4.3799,4.0623
2024-06-01,2584.7105,50.6318,4.3043,3.5504
2024-07-01,2646.1505,46.9778,4.2324,3.0538
2024-08-01,2654.2934,46.1753,4.1657,2.5759
2024-09-01,2678.4332,46.4623,4.1825,2.6120
2024-10-01,2734.0210,43.9180,4.2037,2.6919
2024-11-01,2770.7707,42.7540,4.2222,2.7121
2024-12-01,2809.2204,41.2570,4.2455,2.7709
2025-01-01,2840.9392,40.1799,4.2679,2.8486
2025-02-01,2965.8883,37.6319,4.2844,2.9184
2025-03-01,3097.5525,35.9979,4.3036,3.0259
2025-04-01,3205.4102,32.1008,4.3288,3.0530
2025-05-01,3338.5810,30.8035,4.3508,3.0616
2025-06-01,3437.9860,29.9785,4.3638,3.0818
